Tipo Movimiento;Cod SII;Rut;Razon Social;Numero;Fecha;Exento;Neto;IVA;Retención;Total
C;33;76568660-1;EASY RETAIL S A;150;11/11/2019;;752000;142880;;894880
C;33;76568660-1;EASY RETAIL S A;160;12/11/2019;;35000;6650;;41650
C;33;76568660-1;EASY RETAIL S A;190;13/11/2019;;780000;148200;;928200
C;33;76568660-1;EASY RETAIL S A;250;14/11/2019;;785000;149150;;934150
C;33;76568660-1;EASY RETAIL S A;350;15/11/2019;;46500;8835;;55335
C;61;76568660-1;EASY RETAIL S A;12;16/11/2019;;35000;6650;;41650
C;61;76568660-1;EASY RETAIL S A;16;17/11/2019;;94200;17898;;112098
C;41;70020190-2;DIRECCIóN GENERAL RELACIONES ECON?MICAS INTERNACIONALES (DIRECON);35;25/11/2019;75000;;;;75000
V;33;96900690-1;AGROFOODS CENTRAL VALLEY CHILE S.A.;130;01/11/2019;;1250000;237500;;1487500
V;33;96900690-2;AGROFOODS CENTRAL VALLEY CHILE S.A.;131;02/11/2019;;3500000;665000;;4165000
V;33;96900690-3;AGROFOODS CENTRAL VALLEY CHILE S.A.;132;03/11/2019;;470000;89300;;559300
V;33;96900690-4;AGROFOODS CENTRAL VALLEY CHILE S.A.;133;04/11/2019;;850000;161500;;1011500
V;33;96900690-5;AGROFOODS CENTRAL VALLEY CHILE S.A.;134;05/11/2019;;950000;180500;;1130500
V;33;96900690-6;AGROFOODS CENTRAL VALLEY CHILE S.A.;135;06/11/2019;;2450000;465500;;2915500
V;61;96900690-6;AGROFOODS CENTRAL VALLEY CHILE S.A.;45;07/11/2019;;56200;10678;;66878
V;61;96900690-6;AGROFOODS CENTRAL VALLEY CHILE S.A.;96;08/11/2019;;850000;161500;;1011500
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
